dataset_name,split,model_name,structured_encoder,text_input_mode,text_embedding_backend,decision_threshold,n_features,n_aligned_features,n_structured_features,n_note_metadata_features,n_event_features,auroc,auprc,accuracy,precision,recall,f1,brier_score,specificity,sensitivity,tp,fp,tn,fn,variant_name
horizon_12h,test,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.1752413660287857,707,256,428,14,9,0.9985741775805644,0.9608145190619439,0.9936674506965805,0.9015748031496063,0.9581589958158996,0.9290060851926978,0.005309864878600299,0.9952723146747352,0.9581589958158996,229,25,5263,10,structured_full
horizon_12h,val,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.1752413660287857,707,256,428,14,9,0.9988071053553997,0.9658274899815158,0.9948444117105505,0.9107981220657277,0.9556650246305419,0.9326923076923077,0.0046903324470893935,0.9963657230298393,0.9556650246305419,194,19,5209,9,structured_full
horizon_12h,test,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.13450071215629578,630,256,360,14,0,0.8162770051715734,0.37344832949835993,0.9582051745974308,0.5285714285714286,0.30962343096234307,0.39050131926121373,0.03414882164546463,0.987518910741301,0.30962343096234307,74,66,5222,165,vitals_labs
horizon_12h,val,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.13450071215629578,630,256,360,14,0,0.7972446583572352,0.33407089157992664,0.9620696004419076,0.48717948717948717,0.28078817733990147,0.35625,0.03055296818825308,0.9885233358837031,0.28078817733990147,57,60,5168,146,vitals_labs
horizon_12h,test,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.09037896990776062,430,256,160,14,0,0.7769873685743042,0.2468881463851318,0.9294373077618961,0.26031746031746034,0.34309623430962344,0.296028880866426,0.03721854976896098,0.9559379727685325,0.34309623430962344,82,233,5055,157,vitals_only
horizon_12h,val,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.09037896990776062,430,256,160,14,0,0.7156519838233687,0.16343616355535115,0.9311360707052109,0.1978798586572438,0.27586206896551724,0.23045267489711935,0.03407184560610534,0.9565799540933435,0.27586206896551724,56,227,5001,147,vitals_only
horizon_24h,test,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.31920674443244934,707,256,428,14,9,0.9992357161443812,0.978876692891383,0.9955201592832255,0.9289617486338798,0.9714285714285714,0.9497206703910615,0.0033400659533426567,0.9966172261254228,0.9714285714285714,170,13,3830,5,structured_full
horizon_24h,val,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.31920674443244934,707,256,428,14,9,0.9982285334177566,0.9527387997011169,0.9942456842631974,0.89171974522293,0.958904109589041,0.9240924092409241,0.005494422119403742,0.9955855621916385,0.958904109589041,140,17,3834,6,structured_full
horizon_24h,test,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.07328823953866959,630,256,360,14,0,0.8022348611575778,0.3277662794643877,0.9405176704828273,0.32978723404255317,0.35428571428571426,0.3415977961432507,0.035590834181098555,0.9672131147540983,0.35428571428571426,62,126,3717,113,vitals_labs
horizon_24h,val,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.07328823953866959,630,256,360,14,0,0.7644038374661624,0.20691483751808515,0.9467100325243933,0.28104575163398693,0.2945205479452055,0.28762541806020064,0.03258560920757686,0.9714359906517788,0.2945205479452055,43,110,3741,103,vitals_labs
horizon_24h,test,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.04886162281036377,430,256,160,14,0,0.7250213746700866,0.1542927822847326,0.8979591836734694,0.15542521994134897,0.3028571428571429,0.2054263565891473,0.04034472161857523,0.9250585480093677,0.3028571428571429,53,288,3555,122,vitals_only
horizon_24h,val,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.04886162281036377,430,256,160,14,0,0.6799087943711472,0.08270983999131776,0.9001751313485113,0.11314984709480122,0.2534246575342466,0.15644820295983086,0.035773975015857426,0.9246948844455986,0.2534246575342466,37,290,3561,109,vitals_only
horizon_6h,test,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.25,707,256,428,14,9,0.9986272379228397,0.9749527712280255,0.9951947829071564,0.9329073482428115,0.9765886287625418,0.954248366013072,0.004753841648460428,0.9962011577424024,0.9765886287625418,292,21,5507,7,structured_full
horizon_6h,val,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.25,707,256,428,14,9,0.9989843250262057,0.9777406883776781,0.9942558746736292,0.934931506849315,0.9512195121951219,0.9430051813471503,0.005276200516317204,0.9965188713814584,0.9512195121951219,273,19,5439,14,structured_full
horizon_6h,test,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.19019754230976105,630,256,360,14,0,0.82849125643123,0.3672202948288211,0.942852239574395,0.4356060606060606,0.38461538461538464,0.40852575488454707,0.04003880918071535,0.9730463096960926,0.38461538461538464,115,149,5379,184,vitals_labs
horizon_6h,val,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.19019754230976105,630,256,360,14,0,0.8394467476057267,0.39719711118391926,0.9495213228894691,0.49372384937238495,0.41114982578397213,0.44866920152091255,0.03782428043553577,0.9778307072187614,0.41114982578397213,118,121,5337,169,vitals_labs
horizon_6h,test,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.16721008718013763,430,256,160,14,0,0.8017771491077349,0.24553305236402756,0.9358160288313025,0.3493975903614458,0.2909698996655518,0.3175182481751825,0.044226290074793714,0.9706946454413893,0.2909698996655518,87,162,5366,212,vitals_only
horizon_6h,val,aligned_transformer_xgboost,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,0.16721008718013763,430,256,160,14,0,0.8021036154454095,0.3106604120055055,0.9376849434290687,0.3660377358490566,0.33797909407665505,0.35144927536231885,0.04074051213372555,0.9692194943202639,0.33797909407665505,97,168,5290,190,vitals_only
