epoch,train_loss,learning_rate,selection_loss,selection_auroc,selection_auprc,selection_precision,selection_recall,selection_f1,decision_threshold
1,3.431030929423425,0.00029388206453689414,3.1772817330893455,0.7238455714400623,0.20953773377215912,0.6363636363636364,0.07317073170731707,0.13125,0.07343915104866028
2,3.4701768790105625,0.00027612712429686835,3.9046615869822356,0.7292712292667605,0.21051439854258353,0.6875,0.03832752613240418,0.07260726072607261,0.055030129849910736
3,3.5215321743403494,0.0002484731565365591,4.015466649183726,0.7303108437826775,0.19671176598552023,0.3819444444444444,0.1916376306620209,0.2552204176334107,0.055030129849910736
4,3.702191130380102,0.00021362712429686838,4.203943211590465,0.7302591343716923,0.22550869487530323,0.5316455696202531,0.14634146341463414,0.22950819672131148,0.04161147400736809
5,3.76378886106485,0.00017499999999999997,4.867857710433728,0.729287508155404,0.22130950076888234,0.6428571428571429,0.0627177700348432,0.11428571428571428,0.04161147400736809
6,3.7076988038491914,0.00013637287570313157,4.742599167973736,0.7423268979588189,0.23057318554052528,0.6,0.07317073170731707,0.13043478260869565,0.07067834585905075
7,3.6827236267683996,0.00010152684346344086,4.253363647722278,0.747309514659299,0.22486439221345436,0.5066666666666667,0.13240418118466898,0.20994475138121546,0.07067834585905075
8,3.588213512938403,7.387287570313158e-05,4.534954513875853,0.7481126064990431,0.22900818570183204,0.625,0.08710801393728224,0.1529051987767584,0.07067834585905075
9,3.5572992535926113,5.611793546310581e-05,4.095836050123214,0.7529458404566771,0.23748463154433588,0.5652173913043478,0.13588850174216027,0.21910112359550563,0.17083953320980072
10,3.488651746751358,5e-05,3.9844427023553166,0.7505857207972697,0.23176398510044116,0.5384615384615384,0.14634146341463414,0.23013698630136986,0.17083953320980072
